Accuracy: 0.89
Macro Avg Precision: 0.78
Weighted Avg Precision: 0.88
+----+-----------+-------------+----------+-----------+
|    | label     |   precision |   recall |   support |
|----+-----------+-------------+----------+-----------|
|  0 | abb       |    1        | 1        |         1 |
|  1 | animal    |    0.941176 | 1        |        16 |
|  2 | body      |    1        | 1        |         2 |
|  3 | city      |    0.933333 | 0.777778 |        18 |
|  4 | color     |    0.833333 | 1        |        10 |
|  5 | count     |    0.818182 | 1        |         9 |
|  6 | country   |    0.6      | 1        |         3 |
|  7 | currency  |    0        | 0        |         6 |
|  8 | date      |    0.979167 | 1        |        47 |
|  9 | def       |    0.96063  | 0.99187  |       123 |
| 10 | desc      |    0.909091 | 1        |        10 |
| 11 | dismed    |    1        | 0.5      |         2 |
| 12 | dist      |    0.636364 | 0.875    |        16 |
| 13 | event     |    0.5      | 0.5      |         2 |
| 14 | exp       |    1        | 0.75     |         8 |
| 15 | food      |    1        | 0.75     |         4 |
| 16 | gr        |    0.714286 | 0.833333 |         6 |
| 17 | ind       |    1        | 1        |        55 |
| 18 | instru    |    1        | 1        |         1 |
| 19 | lang      |    1        | 1        |         2 |
| 20 | manner    |    1        | 1        |         2 |
| 21 | money     |    0.222222 | 0.666667 |         3 |
| 22 | mount     |    1        | 0.666667 |         3 |
| 23 | other     |    0.84     | 0.851351 |        74 |
| 24 | perc      |    0.5      | 0.333333 |         3 |
| 25 | period    |    0.8      | 1        |         8 |
| 26 | plant     |    1        | 1        |         5 |
| 27 | product   |    1        | 0.25     |         4 |
| 28 | reason    |    1        | 1        |         6 |
| 29 | speed     |    0        | 0        |         6 |
| 30 | sport     |    1        | 1        |         1 |
| 31 | state     |    1        | 1        |         7 |
| 32 | substance |    0.846154 | 0.733333 |        15 |
| 33 | techmeth  |    1        | 1        |         1 |
| 34 | temp      |    0        | 0        |         5 |
| 35 | termeq    |    1        | 0.857143 |         7 |
| 36 | title     |    0        | 0        |         1 |
| 37 | veh       |    0.571429 | 1        |         4 |
| 38 | weight    |    0.8      | 1        |         4 |
+----+-----------+-------------+----------+-----------+
